Case Name,Level,Num Nodes,Train Frame Num,Train Chamfer Error,Test Frame Num,Test Chamfer Error
single_clift_cloth_3,0,8158,66,0.0017336953914667847,30,0.004153134417720139
single_clift_cloth_3,AVG,N/A,N/A,0.0017336953914667847,N/A,0.004153134417720139
double_lift_cloth_1,0,4742,80,0.004259529162663966,35,0.007183422547365938
double_lift_cloth_1,AVG,N/A,N/A,0.004259529162663966,N/A,0.007183422547365938
double_stretch_sloth,0,6487,133,0.0045482178544275515,58,0.005741485522995735
double_stretch_sloth,AVG,N/A,N/A,0.0045482178544275515,N/A,0.005741485522995735
single_lift_rope,0,2148,34,0.003614995094454464,15,0.006705337266127268
single_lift_rope,AVG,N/A,N/A,0.003614995094454464,N/A,0.006705337266127268
single_lift_cloth_3,0,8582,108,0.004744953217191828,47,0.008487667323664782
single_lift_cloth_3,AVG,N/A,N/A,0.004744953217191828,N/A,0.008487667323664782
rope_double_hand,0,1753,183,0.004594055825050493,80,0.005093255580868572
rope_double_hand,AVG,N/A,N/A,0.004594055825050493,N/A,0.005093255580868572
double_lift_zebra,0,4607,39,0.0034955921582877636,18,0.011356998881739046
double_lift_zebra,AVG,N/A,N/A,0.0034955921582877636,N/A,0.011356998881739046
double_lift_sloth,0,6660,42,0.003821216889524034,19,0.01701669338600416
double_lift_sloth,AVG,N/A,N/A,0.003821216889524034,N/A,0.01701669338600416
single_lift_zebra,0,4934,45,0.003067052134105729,20,0.01827273906674236
single_lift_zebra,AVG,N/A,N/A,0.003067052134105729,N/A,0.01827273906674236
single_push_rope_4,0,855,57,0.002962864396211348,25,0.004830805836245417
single_push_rope_4,AVG,N/A,N/A,0.002962864396211348,N/A,0.004830805836245417
single_lift_cloth_4,0,8185,119,0.005454829044859199,52,0.01636599455601894
single_lift_cloth_4,AVG,N/A,N/A,0.005454829044859199,N/A,0.01636599455601894
single_lift_dinosor,0,7576,59,0.00443745905659714,26,0.00862104375846684
single_lift_dinosor,AVG,N/A,N/A,0.00443745905659714,N/A,0.00862104375846684
single_lift_sloth,0,6895,58,0.003643063507203398,26,0.011328910799840322
single_lift_sloth,AVG,N/A,N/A,0.003643063507203398,N/A,0.011328910799840322
single_push_rope_1,0,2293,63,0.0032211935151338815,28,0.005125894859832313
single_push_rope_1,AVG,N/A,N/A,0.0032211935151338815,N/A,0.005125894859832313
single_lift_cloth_1,0,5490,76,0.004383581126795003,33,0.015512805911853458
single_lift_cloth_1,AVG,N/A,N/A,0.004383581126795003,N/A,0.015512805911853458
single_lift_cloth,0,7793,120,0.010201388785693174,52,0.018694672518624708
single_lift_cloth,AVG,N/A,N/A,0.010201388785693174,N/A,0.018694672518624708
single_push_rope,0,2332,39,0.00405674209842124,18,0.005986231482691235
single_push_rope,AVG,N/A,N/A,0.00405674209842124,N/A,0.005986231482691235
single_push_sloth,0,6270,46,0.006787231429884939,21,0.012557423806616239
single_push_sloth,AVG,N/A,N/A,0.006787231429884939,N/A,0.012557423806616239
single_clift_cloth_1,0,6490,55,0.002826993942091411,24,0.005100314583008488
single_clift_cloth_1,AVG,N/A,N/A,0.002826993942091411,N/A,0.005100314583008488
weird_package,0,4532,26,0.009029236783345159,12,0.019912591048826773
weird_package,AVG,N/A,N/A,0.009029236783345159,N/A,0.019912591048826773
double_stretch_zebra,0,4208,137,0.005015371865286988,60,0.007481230415093402
double_stretch_zebra,AVG,N/A,N/A,0.005015371865286988,N/A,0.007481230415093402

Layer-wise Average across all cases
Average,0,5285.24,N/A,0.004567,N/A,0.010263
