Case Name,Level,Num Nodes,Train Frame Num,Train Chamfer Error,Test Frame Num,Test Chamfer Error
double_stretch_zebra,0,4208,137,0.005561980447752306,60,0.009268962289206683
double_stretch_zebra,1,2666,137,0.006844244115598445,60,0.008327150585440297
double_stretch_zebra,2,1697,137,0.010335313815650714,60,0.013175969058647753
double_stretch_zebra,3,1067,137,0.02165485656120046,60,0.02742943928266565
double_stretch_zebra,AVG,N/A,N/A,0.011099098735050482,N/A,0.014550380303990095
double_lift_sloth,0,6660,42,0.004006145688306008,19,0.011461920889192507
double_lift_sloth,1,4223,42,0.00810858631683957,19,0.020490362455970364
double_lift_sloth,2,2701,42,0.010432591462241752,19,0.021250527842264427
double_lift_sloth,3,1726,42,0.019925155599291127,19,0.053628446632309965
double_lift_sloth,AVG,N/A,N/A,0.010618119766669615,N/A,0.026707814454934316
single_push_sloth,0,6270,46,0.006376401713603865,21,0.010831059821482216
single_push_sloth,1,3940,46,0.007571742556098363,21,0.008604659743252255
single_push_sloth,2,2481,46,0.01839576673734447,21,0.04776526153797195
single_push_sloth,3,1566,46,0.029206095222869644,21,0.11849539301225118
single_push_sloth,AVG,N/A,N/A,0.015387501557479085,N/A,0.0464240935287394
single_push_rope_4,0,855,57,0.003097251578430204,25,0.011159296799451112
single_push_rope_4,1,529,57,0.006719529988211498,25,0.00728461978957057
single_push_rope_4,2,335,57,0.010243676709043876,25,0.014854312911629676
single_push_rope_4,3,225,57,0.011914099901587817,25,0.0204690632969141
single_push_rope_4,AVG,N/A,N/A,0.00799363954431835,N/A,0.013441823199391365
single_lift_cloth_3,0,8582,108,0.005162173784036121,47,0.010055015299548494
single_lift_cloth_3,1,5452,108,0.008794614963267965,47,0.03293787307561712
single_lift_cloth_3,2,3275,108,0.008685433413591926,47,0.015249340497749918
single_lift_cloth_3,3,1993,108,0.012820996387206294,47,0.028972296480168688
single_lift_cloth_3,AVG,N/A,N/A,0.008865804637025576,N/A,0.021803631338271054
single_lift_dinosor,0,7576,59,0.0047883240237705784,26,0.010030629453607477
single_lift_dinosor,1,4771,59,0.0059458553885756915,26,0.016400996416520614
single_lift_dinosor,2,3003,59,0.007871195034644866,26,0.015080068224611191
single_lift_dinosor,3,1892,59,0.020839562781660232,26,0.023076666662326224
single_lift_dinosor,AVG,N/A,N/A,0.009861234307162842,N/A,0.016147090189266376
double_lift_cloth_3,0,7521,81,0.002389483278858717,36,0.012140073567732342
double_lift_cloth_3,1,4778,81,0.004676944090421369,36,0.02353352352252437
double_lift_cloth_3,2,2999,81,0.0063420621114840476,36,0.025029964693304565
double_lift_cloth_3,3,1862,81,0.00815867610781649,36,0.026665292550913162
double_lift_cloth_3,AVG,N/A,N/A,0.005391791397145155,N/A,0.02184221358361861
single_lift_cloth_1,0,5490,76,0.004433937952853739,33,0.014880024489354004
single_lift_cloth_1,1,3486,76,0.006319469784533507,33,0.013254163194109093
single_lift_cloth_1,2,2193,76,0.011063889061149797,33,0.028282371660073597
single_lift_cloth_1,3,1371,76,0.00916274285287057,33,0.01775766844212106
single_lift_cloth_1,AVG,N/A,N/A,0.007745009912851903,N/A,0.018543556946414436
single_lift_zebra,0,4934,45,0.0030684443604615,20,0.017979600979015232
single_lift_zebra,1,3117,45,0.004485574023177227,20,0.02015040279366076
single_lift_zebra,2,1955,45,0.006113055079347557,20,0.019127400266006588
single_lift_zebra,3,1255,45,0.008853650517347786,20,0.02989120571874082
single_lift_zebra,AVG,N/A,N/A,0.005630180995083518,N/A,0.021787152439355847
single_push_rope,0,2332,39,0.004331460586772897,18,0.005384423381959398
single_push_rope,1,1483,39,0.005369711607599106,18,0.009145289504279694
single_push_rope,2,921,39,0.00648950673162173,18,0.008438610549395284
single_push_rope,3,594,39,0.0074066710419570785,18,0.00820468115206394
single_push_rope,AVG,N/A,N/A,0.005899337491987703,N/A,0.007793251146924579
single_clift_cloth_3,0,8158,66,0.0016456040285640593,30,0.004412058368325233
single_clift_cloth_3,1,5189,66,0.003424662500478779,30,0.009725709771737456
single_clift_cloth_3,2,3265,66,0.005024522161957892,30,0.011101119065036377
single_clift_cloth_3,3,2033,66,0.006819915675529928,30,0.012770565723379453
single_clift_cloth_3,AVG,N/A,N/A,0.004228676091632664,N/A,0.009502363232119629
double_lift_zebra,0,4607,39,0.0036813133002187195,18,0.014122327401613196
double_lift_zebra,1,2898,39,0.00623874319717288,18,0.01706364383507106
double_lift_zebra,2,1792,39,0.008133352161026917,18,0.015592340690394243
double_lift_zebra,3,1124,39,0.010918517788060201,18,0.017809124042590458
double_lift_zebra,AVG,N/A,N/A,0.007242981611619679,N/A,0.01614685899241724
single_push_rope_1,0,2293,63,0.003270898648123774,28,0.00423327783521797
single_push_rope_1,1,1449,63,0.004169200000072282,28,0.00606664182019553
single_push_rope_1,2,930,63,0.0052847519428247496,28,0.006929229296344731
single_push_rope_1,3,570,63,0.006390463841694688,28,0.006951678527652153
single_push_rope_1,AVG,N/A,N/A,0.004778828608178873,N/A,0.006045206869852596
single_clift_cloth_1,0,6490,55,0.0028382920977574858,24,0.004482124757487327
single_clift_cloth_1,1,4098,55,0.003964989255605774,24,0.0058941539997855825
single_clift_cloth_1,2,2580,55,0.006478107060221109,24,0.017967771195496123
single_clift_cloth_1,3,1583,55,0.007792827647856691,24,0.01915734668727964
