Case Name,Level,Num Nodes,Train Frame Num,Train Chamfer Error,Test Frame Num,Test Chamfer Error
single_clift_cloth_3,0,8158,66,0.0017249624167258542,30,0.00367731850904723
single_clift_cloth_3,AVG,N/A,N/A,0.0017249624167258542,N/A,0.00367731850904723
double_lift_cloth_1,0,4742,80,0.003381547714525368,35,0.012446284520306758
double_lift_cloth_1,AVG,N/A,N/A,0.003381547714525368,N/A,0.012446284520306758
double_stretch_sloth,0,6487,133,0.004287578960306438,58,0.005471173055662677
double_stretch_sloth,AVG,N/A,N/A,0.004287578960306438,N/A,0.005471173055662677
single_lift_rope,0,2148,34,0.0035338306847466703,15,0.005561981567492088
single_lift_rope,AVG,N/A,N/A,0.0035338306847466703,N/A,0.005561981567492088
double_lift_cloth_3,0,7521,81,0.0023265284339517908,36,0.014473545636671284
double_lift_cloth_3,AVG,N/A,N/A,0.0023265284339517908,N/A,0.014473545636671284
single_lift_cloth_3,0,8582,108,0.004744953217191828,47,0.008487667323664782
single_lift_cloth_3,AVG,N/A,N/A,0.004744953217191828,N/A,0.008487667323664782
rope_double_hand,0,1753,183,0.0047148285074861815,80,0.0052684305992443115
rope_double_hand,AVG,N/A,N/A,0.0047148285074861815,N/A,0.0052684305992443115
double_lift_zebra,0,4607,39,0.0034955921582877636,18,0.011356998881739046
double_lift_zebra,AVG,N/A,N/A,0.0034955921582877636,N/A,0.011356998881739046
double_lift_sloth,0,6660,42,0.003821216889524034,19,0.01701669338600416
double_lift_sloth,AVG,N/A,N/A,0.003821216889524034,N/A,0.01701669338600416
single_lift_zebra,0,4934,45,0.0030702886326859397,20,0.017795194243080913
single_lift_zebra,AVG,N/A,N/A,0.0030702886326859397,N/A,0.017795194243080913
single_push_rope_4,0,855,57,0.0032087363784707953,25,0.0059108477644622326
single_push_rope_4,AVG,N/A,N/A,0.0032087363784707953,N/A,0.0059108477644622326
single_lift_cloth_4,0,8185,119,0.00591404246119391,52,0.014590102104613414
single_lift_cloth_4,AVG,N/A,N/A,0.00591404246119391,N/A,0.014590102104613414
single_lift_dinosor,0,7576,59,0.00443745905659714,26,0.00862104375846684
single_lift_dinosor,AVG,N/A,N/A,0.00443745905659714,N/A,0.00862104375846684
single_lift_sloth,0,6895,58,0.003643063507203398,26,0.011328910799840322
single_lift_sloth,AVG,N/A,N/A,0.003643063507203398,N/A,0.011328910799840322
single_push_rope_1,0,2293,63,0.003442819732876997,28,0.005257892139655139
single_push_rope_1,AVG,N/A,N/A,0.003442819732876997,N/A,0.005257892139655139
single_lift_cloth_1,0,5490,76,0.004383581126795003,33,0.015512805911853458
single_lift_cloth_1,AVG,N/A,N/A,0.004383581126795003,N/A,0.015512805911853458
single_lift_cloth,0,7793,120,0.010201388785693174,52,0.018694672518624708
single_lift_cloth,AVG,N/A,N/A,0.010201388785693174,N/A,0.018694672518624708
single_push_rope,0,2332,39,0.00405674209842124,18,0.005986231482691235
single_push_rope,AVG,N/A,N/A,0.00405674209842124,N/A,0.005986231482691235
single_push_sloth,0,6270,46,0.006787231429884939,21,0.012557423806616239
single_push_sloth,AVG,N/A,N/A,0.006787231429884939,N/A,0.012557423806616239
single_clift_cloth_1,0,6490,55,0.002826993942091411,24,0.005100314583008488
single_clift_cloth_1,AVG,N/A,N/A,0.002826993942091411,N/A,0.005100314583008488
