Case Name,Level,Num Nodes,Train Track Error,Test Track Error
double_lift_cloth_1,0,1897,0.004836294343364507,0.030198784597468224
double_lift_cloth_1,AVG,N/A,0.004836294343364507,0.030198784597468224
double_lift_cloth_3,0,2956,0.006090801266139784,0.022949085504815992
double_lift_cloth_3,AVG,N/A,0.006090801266139784,0.022949085504815992
single_push_rope_1,0,897,0.007614073949535416,0.014477791490847058
single_push_rope_1,AVG,N/A,0.007614073949535416,0.014477791490847058
single_push_rope_4,0,339,0.015162832109882673,0.02648448444113854
single_push_rope_4,AVG,N/A,0.015162832109882673,0.02648448444113854
single_clift_cloth_3,0,8158,0.005390340739073937,0.013631584892741631
single_clift_cloth_3,1,5189,0.009357207752916047,0.05303128766010427
single_clift_cloth_3,AVG,N/A,0.007373774245994991,0.03333143627642295
single_lift_rope,0,2148,0.00592198361972356,0.009533288058912045
single_lift_rope,1,1358,0.005776105373204153,0.011002781297912581
single_lift_rope,AVG,N/A,0.005849044496463856,0.010268034678412313
double_lift_zebra,0,4607,0.005217391103884404,0.02837159336587378
double_lift_zebra,1,2876,0.00763391213339762,0.025161636294027415
double_lift_zebra,AVG,N/A,0.006425651618641012,0.026766614829950595
