Case Name,Train Frame Num,Train Chamfer Error,Test Frame Num,Test Chamfer Error
single_clift_cloth_3,66,0.001785188572918714,30,0.0038393950710693997
double_lift_cloth_1,80,0.004184695737785659,35,0.012402289759899888
double_stretch_sloth,133,0.009530209792651852,58,0.008297860477890434
single_lift_rope,34,0.0042557055952356145,15,0.007229885179549455
double_lift_cloth_3,81,0.0026385348640888193,36,0.014792892745592527
single_lift_cloth_3,108,0.005584723193250183,47,0.013594859279692173
rope_double_hand,183,0.007815328043697228,80,0.008030929538654164
double_lift_zebra,39,0.004773721570531145,18,0.014712404873636033
single_push_rope_4,57,0.004117712713451239,25,0.00467651141807437
single_push_rope_1,63,0.0035379476261339963,28,0.00484698180974062
single_lift_cloth_1,76,0.006578507359862621,33,0.024392713595068817
single_lift_cloth,120,0.016436663875356316,52,0.02495882291203508
single_push_rope,39,0.004648878680876432,18,0.00648349378671911
single_push_sloth,46,0.015627948304071375,21,0.029060257332665578
single_clift_cloth_1,55,0.003139830183830451,24,0.005896961646309744
weird_package,26,0.014137924917472096,12,0.020259038389970858
double_stretch_zebra,137,0.009852161994679783,60,0.010520691874747475
