Scene Name,Stage,Train Frame Num,Train PSNR,Train SSIM,Train LPIPS,Train IoU,Test Frame Num,Test PSNR,Test SSIM,Test LPIPS,Test IoU
double_lift_cloth_1,0,80,30.404346442222597,0.9577847182750702,0.033691814308986066,0.9568183209038816,35,27.31951768057687,0.9406728335789272,0.059565501340797966,0.9272143012446145
double_lift_cloth_3,0,81,28.9587592607663,0.8851327461960875,0.0378505430287785,0.9661996631038363,36,22.970145013597275,0.8644206176201502,0.10650224135153824,0.837851220463721
double_lift_sloth,0,42,28.551992961338588,0.9444333371661958,0.022591204959012214,0.892416694107781,19,24.369226857235557,0.9206492932219255,0.07141737326195366,0.7584945969078787
double_lift_zebra,0,39,27.493112466274162,0.957464045439011,0.015769401541314065,0.8645834996898156,18,24.04915205637614,0.939115991195043,0.04763295201377736,0.6887080263820722
double_stretch_sloth,0,133,27.14184696513011,0.9351251542120051,0.03587258497911288,0.845370042337784,58,26.32871473246607,0.9305884694230968,0.0392153629840448,0.8173221377156384
double_stretch_zebra,0,137,26.962865578867223,0.9559568654011635,0.02518654809109051,0.7951956057593748,60,26.44326130549113,0.9544217358032863,0.029824833075205486,0.7813659194845156
rope_double_hand,0,183,28.2809542254672,0.9762252543141933,0.020121422117891533,0.7258719634445665,80,28.237213921546935,0.9762758694589138,0.02010782735887915,0.7146301475379285
single_clift_cloth_1,0,55,30.20932565168901,0.9554020047187806,0.031543241238052196,0.953714528054329,24,26.61273193359375,0.9421767170230547,0.05291088266919056,0.8986775812221014
single_clift_cloth_3,0,66,29.55460753585353,0.8854430787491075,0.034978451602386704,0.9708274224102545,30,28.842257944742837,0.8842401882012685,0.045856210341056185,0.9683378835340712
single_lift_cloth,0,120,28.49519987106323,0.9113301828503608,0.05586770509059231,0.8438446900183547,52,25.856935831216667,0.9150160688620347,0.0918280347608603,0.620841006634595
single_lift_cloth_1,0,76,29.67757282759014,0.964611258945967,0.02872346299945524,0.914222196779232,33,24.536286209568832,0.9612027659560695,0.06006125642946272,0.5879154670427088
single_lift_cloth_3,0,108,28.079566990887677,0.8991309696877444,0.05257753413860445,0.9439563417041165,47,25.004112608889315,0.9220276119861197,0.08176340384686247,0.8134100586433101
single_lift_cloth_4,0,119,23.486938011746446,0.9334509973766423,0.07703717463031537,0.8288869032100032,52,23.193802943596474,0.9486660796862382,0.06763926263038929,0.6806466861999491
single_lift_dinosor,0,59,29.467794547646733,0.9735200081841421,0.02259424273556067,0.9083683881262563,26,25.784881591796875,0.9579160511493683,0.05155398252491768,0.8407349065013711
single_lift_rope,0,34,31.462223950554343,0.9857286302482381,0.0097353189416668,0.7828718206198738,15,29.015506744384766,0.9820898493131002,0.01749068989108006,0.6634312575428754
single_lift_sloth,0,58,29.541859199260845,0.9561889315473622,0.01727842854271675,0.9016116826928761,26,24.841209484980656,0.9451738893985748,0.052322340269501395,0.7560297114997544
single_lift_zebra,0,45,28.74993175930447,0.9641785542170207,0.012305791903701093,0.888020807560383,20,24.258653831481933,0.9476819217205048,0.05101568959653378,0.6173364238724477
single_push_rope,0,39,29.715817133585613,0.9841068600996946,0.013684970756562857,0.7300457722308257,18,25.789560423956978,0.9785400827725729,0.027010038908984926,0.5340275696684258
single_push_rope_1,0,63,32.46129408336821,0.9812325948760623,0.009226518247040018,0.8011743105434909,28,29.79494435446603,0.97718588582107,0.01835715042294136,0.6596143027465191
single_push_rope_4,0,57,29.518427765160276,0.9847003943041751,0.010477313788182903,0.5745627110434941,25,29.023625793457033,0.9837579298019409,0.012579619921743869,0.47556869933011336
single_push_sloth,0,46,26.911963836006496,0.9420312876286714,0.033974147118304085,0.8361227896021235,21,25.19000852675665,0.9361668342635745,0.055334671622230894,0.777188427646487
weird_package,0,26,28.49381901667668,0.9598898337437556,0.034135450035906754,0.7417176552487417,12,26.70733880996704,0.9671410669883093,0.04458558093756437,0.30078864113655074
