
================================================================================
OVERALL RESULTS ACROSS ALL SCENES AND STAGES
================================================================================


Stage 0:
	 Overall PSNR (train): 28.800919
	 Overall SSIM (train): 0.949685
	 Overall LPIPS (train): 0.028874
	 Overall IoU (train): 0.848473
	 Overall PSNR (test): 26.098595
	 Overall SSIM (test): 0.944324
	 Overall LPIPS (test): 0.050208
	 Overall IoU (test): 0.714552

================================================================================
COMPACT METRICS TABLE BY SCENE AND STAGE
================================================================================

Scene                          | Stage  | PSNR-train   | SSIM-train   | LPIPS-train    | IoU-train    | PSNR-test    | SSIM-test    | LPIPS-test     | IoU-test    
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
double_lift_cloth_1            | 0      | 30.404346    | 0.957785     | 0.033692       | 0.956818     | 27.319518    | 0.940673     | 0.059566       | 0.927214    
double_lift_cloth_3            | 0      | 28.958759    | 0.885133     | 0.037851       | 0.966200     | 22.970145    | 0.864421     | 0.106502       | 0.837851    
double_lift_sloth              | 0      | 28.551993    | 0.944433     | 0.022591       | 0.892417     | 24.369227    | 0.920649     | 0.071417       | 0.758495    
double_lift_zebra              | 0      | 27.493112    | 0.957464     | 0.015769       | 0.864583     | 24.049152    | 0.939116     | 0.047633       | 0.688708    
double_stretch_sloth           | 0      | 27.141847    | 0.935125     | 0.035873       | 0.845370     | 26.328715    | 0.930588     | 0.039215       | 0.817322    
double_stretch_zebra           | 0      | 26.962866    | 0.955957     | 0.025187       | 0.795196     | 26.443261    | 0.954422     | 0.029825       | 0.781366    
rope_double_hand               | 0      | 28.280954    | 0.976225     | 0.020121       | 0.725872     | 28.237214    | 0.976276     | 0.020108       | 0.714630    
single_clift_cloth_1           | 0      | 30.209326    | 0.955402     | 0.031543       | 0.953715     | 26.612732    | 0.942177     | 0.052911       | 0.898678    
single_clift_cloth_3           | 0      | 29.554608    | 0.885443     | 0.034978       | 0.970827     | 28.842258    | 0.884240     | 0.045856       | 0.968338    
single_lift_cloth              | 0      | 28.495200    | 0.911330     | 0.055868       | 0.843845     | 25.856936    | 0.915016     | 0.091828       | 0.620841    
single_lift_cloth_1            | 0      | 29.677573    | 0.964611     | 0.028723       | 0.914222     | 24.536286    | 0.961203     | 0.060061       | 0.587915    
single_lift_cloth_3            | 0      | 28.079567    | 0.899131     | 0.052578       | 0.943956     | 25.004113    | 0.922028     | 0.081763       | 0.813410    
single_lift_cloth_4            | 0      | 23.486938    | 0.933451     | 0.077037       | 0.828887     | 23.193803    | 0.948666     | 0.067639       | 0.680647    
single_lift_dinosor            | 0      | 29.467795    | 0.973520     | 0.022594       | 0.908368     | 25.784882    | 0.957916     | 0.051554       | 0.840735    
single_lift_rope               | 0      | 31.462224    | 0.985729     | 0.009735       | 0.782872     | 29.015507    | 0.982090     | 0.017491       | 0.663431    
single_lift_sloth              | 0      | 29.541859    | 0.956189     | 0.017278       | 0.901612     | 24.841209    | 0.945174     | 0.052322       | 0.756030    
single_lift_zebra              | 0      | 28.749932    | 0.964179     | 0.012306       | 0.888021     | 24.258654    | 0.947682     | 0.051016       | 0.617336    
single_push_rope               | 0      | 29.715817    | 0.984107     | 0.013685       | 0.730046     | 25.789560    | 0.978540     | 0.027010       | 0.534028    
single_push_rope_1             | 0      | 32.461294    | 0.981233     | 0.009227       | 0.801174     | 29.794944    | 0.977186     | 0.018357       | 0.659614    
single_push_rope_4             | 0      | 29.518428    | 0.984700     | 0.010477       | 0.574563     | 29.023626    | 0.983758     | 0.012580       | 0.475569    
single_push_sloth              | 0      | 26.911964    | 0.942031     | 0.033974       | 0.836123     | 25.190009    | 0.936167     | 0.055335       | 0.777188    
weird_package                  | 0      | 28.493819    | 0.959890     | 0.034135       | 0.741718     | 26.707339    | 0.967141     | 0.044586       | 0.300789    
