
================================================================================
OVERALL RESULTS ACROSS ALL SCENES AND STAGES
================================================================================


Stage 0:
	 Overall PSNR (train): 28.829357
	 Overall SSIM (train): 0.949569
	 Overall LPIPS (train): 0.029083
	 Overall IoU (train): 0.852635
	 Overall PSNR (test): 26.167129
	 Overall SSIM (test): 0.944414
	 Overall LPIPS (test): 0.050475
	 Overall IoU (test): 0.720543

Stage 1:
	 Overall PSNR (train): 28.081496
	 Overall SSIM (train): 0.947227
	 Overall LPIPS (train): 0.033539
	 Overall IoU (train): 0.814516
	 Overall PSNR (test): 24.999656
	 Overall SSIM (test): 0.939295
	 Overall LPIPS (test): 0.060887
	 Overall IoU (test): 0.659037

================================================================================
COMPACT METRICS TABLE BY SCENE AND STAGE
================================================================================

Scene                          | Stage  | PSNR-train   | SSIM-train   | LPIPS-train    | IoU-train    | PSNR-test    | SSIM-test    | LPIPS-test     | IoU-test    
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
double_lift_cloth_1            | 0      | 30.396644    | 0.957824     | 0.033676       | 0.956638     | 27.080049    | 0.939958     | 0.060468       | 0.922642    
double_lift_cloth_1            | 1      | 29.038506    | 0.956546     | 0.038943       | 0.931529     | 22.076251    | 0.919355     | 0.107998       | 0.729016    
double_lift_cloth_3            | 0      | 28.856173    | 0.884782     | 0.039263       | 0.964113     | 23.030271    | 0.866723     | 0.103733       | 0.847134    
double_lift_cloth_3            | 1      | 28.827313    | 0.884238     | 0.041661       | 0.956943     | 22.660102    | 0.859652     | 0.121517       | 0.812261    
double_lift_sloth              | 0      | 28.603373    | 0.944583     | 0.022388       | 0.892751     | 24.840093    | 0.922184     | 0.068704       | 0.774801    
double_lift_sloth              | 1      | 28.014497    | 0.942533     | 0.026050       | 0.886968     | 22.834099    | 0.910123     | 0.087142       | 0.696241    
double_lift_zebra              | 0      | 27.138214    | 0.955580     | 0.016435       | 0.852890     | 24.449376    | 0.940586     | 0.046634       | 0.704635    
double_lift_zebra              | 1      | 26.059972    | 0.951164     | 0.022193       | 0.794506     | 23.022905    | 0.932506     | 0.062570       | 0.544523    
double_stretch_sloth           | 0      | 27.137334    | 0.936734     | 0.035437       | 0.854065     | 26.922828    | 0.936842     | 0.035720       | 0.840768    
double_stretch_sloth           | 1      | 24.832288    | 0.929454     | 0.047786       | 0.772424     | 24.495087    | 0.929367     | 0.044578       | 0.772585    
double_stretch_zebra           | 0      | 27.341374    | 0.957334     | 0.022173       | 0.825402     | 25.292434    | 0.950271     | 0.036350       | 0.699781    
double_stretch_zebra           | 1      | 25.754839    | 0.951632     | 0.033131       | 0.710781     | 25.211375    | 0.948613     | 0.040817       | 0.674828    
rope_double_hand               | 0      | 28.214170    | 0.975895     | 0.019858       | 0.726520     | 27.942122    | 0.976271     | 0.019680       | 0.700189    
