
================================================================================
OVERALL RESULTS ACROSS ALL SCENES AND STAGES
================================================================================


Stage 0:
	 Overall PSNR (train): 28.829357
	 Overall SSIM (train): 0.949569
	 Overall LPIPS (train): 0.029083
	 Overall IoU (train): 0.852635
	 Overall PSNR (test): 26.167129
	 Overall SSIM (test): 0.944414
	 Overall LPIPS (test): 0.050475
	 Overall IoU (test): 0.720543

Stage 1:
	 Overall PSNR (train): 21.802265
	 Overall SSIM (train): 0.916179
	 Overall LPIPS (train): 0.112719
	 Overall IoU (train): 0.395496
	 Overall PSNR (test): 21.950282
	 Overall SSIM (test): 0.915297
	 Overall LPIPS (test): 0.115929
	 Overall IoU (test): 0.363814

================================================================================
COMPACT METRICS TABLE BY SCENE AND STAGE
================================================================================

Scene                          | Stage  | PSNR-train   | SSIM-train   | LPIPS-train    | IoU-train    | PSNR-test    | SSIM-test    | LPIPS-test     | IoU-test    
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
double_lift_cloth_1            | 0      | 30.396644    | 0.957824     | 0.033676       | 0.956638     | 27.080049    | 0.939958     | 0.060468       | 0.922642    
double_lift_cloth_1            | 1      | 20.290639    | 0.916867     | 0.125268       | 0.643557     | 21.577208    | 0.912486     | 0.128703       | 0.720655    
double_lift_cloth_3            | 0      | 28.856173    | 0.884782     | 0.039263       | 0.964113     | 23.030271    | 0.866723     | 0.103733       | 0.847134    
double_lift_cloth_3            | 1      | 22.692944    | 0.862169     | 0.120676       | 0.838512     | 22.098206    | 0.861193     | 0.126226       | 0.810189    
double_lift_sloth              | 0      | 28.603373    | 0.944583     | 0.022388       | 0.892751     | 24.840093    | 0.922184     | 0.068704       | 0.774801    
double_lift_sloth              | 1      | 17.852681    | 0.862068     | 0.189411       | 0.182238     | 18.312293    | 0.859461     | 0.195697       | 0.207358    
double_lift_zebra              | 0      | 27.138214    | 0.955580     | 0.016435       | 0.852890     | 24.449376    | 0.940586     | 0.046634       | 0.704635    
double_lift_zebra              | 1      | 20.799653    | 0.916078     | 0.127113       | 0.308537     | 20.261457    | 0.910122     | 0.141500       | 0.245163    
double_stretch_sloth           | 0      | 27.137334    | 0.936734     | 0.035437       | 0.854065     | 26.922828    | 0.936842     | 0.035720       | 0.840768    
double_stretch_sloth           | 1      | 23.370038    | 0.919860     | 0.062179       | 0.699397     | 23.658730    | 0.925449     | 0.056105       | 0.724503    
double_stretch_zebra           | 0      | 27.341374    | 0.957334     | 0.022173       | 0.825402     | 25.292434    | 0.950271     | 0.036350       | 0.699781    
double_stretch_zebra           | 1      | 24.034867    | 0.944100     | 0.051688       | 0.552104     | 24.143038    | 0.943841     | 0.055011       | 0.563317    
rope_double_hand               | 0      | 28.214170    | 0.975895     | 0.019858       | 0.726520     | 27.942122    | 0.976271     | 0.019680       | 0.700189    
