
================================================================================
OVERALL RESULTS ACROSS ALL SCENES AND STAGES
================================================================================


Stage 0:
	 Overall PSNR (train): 29.211682
	 Overall SSIM (train): 0.949690
	 Overall LPIPS (train): 0.026207
	 Overall IoU (train): 0.855065
	 Overall PSNR (test): 26.366654
	 Overall SSIM (test): 0.944016
	 Overall LPIPS (test): 0.049024
	 Overall IoU (test): 0.718536

Stage 1:
	 Overall PSNR (train): 26.945948
	 Overall SSIM (train): 0.939184
	 Overall LPIPS (train): 0.046384
	 Overall IoU (train): 0.747124
	 Overall PSNR (test): 23.404756
	 Overall SSIM (test): 0.922087
	 Overall LPIPS (test): 0.088492
	 Overall IoU (test): 0.548488

================================================================================
COMPACT METRICS TABLE BY SCENE AND STAGE
================================================================================

Scene                          | Stage  | PSNR-train   | SSIM-train   | LPIPS-train    | IoU-train    | PSNR-test    | SSIM-test    | LPIPS-test     | IoU-test    
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
double_lift_cloth_1            | 0      | 30.267185    | 0.957408     | 0.034205       | 0.955339     | 25.966787    | 0.936517     | 0.066963       | 0.900487    
double_lift_cloth_1            | 1      | 28.470263    | 0.956090     | 0.039781       | 0.919030     | 21.978415    | 0.919143     | 0.106481       | 0.734562    
double_lift_cloth_3            | 0      | 28.935252    | 0.885590     | 0.038527       | 0.965528     | 23.071918    | 0.867540     | 0.101599       | 0.850183    
double_lift_cloth_3            | 1      | 28.826765    | 0.884254     | 0.041586       | 0.956934     | 22.659807    | 0.859657     | 0.121491       | 0.812266    
double_lift_sloth              | 0      | 28.580773    | 0.944433     | 0.022510       | 0.893003     | 24.362125    | 0.920652     | 0.070767       | 0.757252    
double_lift_sloth              | 1      | 25.752096    | 0.934087     | 0.045029       | 0.811469     | 21.221649    | 0.900288     | 0.112965       | 0.581946    
double_lift_zebra              | 0      | 27.416298    | 0.956884     | 0.015903       | 0.861499     | 23.958035    | 0.938612     | 0.051200       | 0.682054    
double_lift_zebra              | 1      | 25.408966    | 0.948560     | 0.028128       | 0.749865     | 22.049520    | 0.926072     | 0.080018       | 0.502019    
double_stretch_sloth           | 0      | 27.416882    | 0.939111     | 0.033921       | 0.863326     | 27.345235    | 0.940325     | 0.032850       | 0.857167    
double_stretch_sloth           | 1      | 22.692886    | 0.914546     | 0.078806       | 0.644852     | 23.852380    | 0.924253     | 0.060430       | 0.715962    
double_stretch_zebra           | 0      | 27.279583    | 0.956922     | 0.022527       | 0.814711     | 25.963268    | 0.952963     | 0.031972       | 0.742926    
double_stretch_zebra           | 1      | 24.859071    | 0.948957     | 0.057094       | 0.595956     | 24.889237    | 0.947977     | 0.054687       | 0.603782    
rope_double_hand               | 0      | 28.594345    | 0.976878     | 0.019369       | 0.736196     | 28.365760    | 0.976815     | 0.019002       | 0.704571    
rope_double_hand               | 1      | 22.819067    | 0.959275     | 0.058388       | 0.316375     | 21.727796    | 0.951782     | 0.089731       | 0.161244    
single_clift_cloth_1           | 0      | 30.252397    | 0.955502     | 0.031329       | 0.955361     | 26.524856    | 0.942155     | 0.053947       | 0.896141    
single_clift_cloth_1           | 1      | 30.381032    | 0.955522     | 0.030668       | 0.955433     | 26.728744    | 0.941263     | 0.052256       | 0.908795    
single_clift_cloth_3           | 0      | 29.577588    | 0.885621     | 0.034746       | 0.970683     | 28.750439    | 0.884065     | 0.046747       | 0.967319    
single_clift_cloth_3           | 1      | 29.047704    | 0.885036     | 0.038164       | 0.963887     | 26.461681    | 0.882287     | 0.058966       | 0.929583    
single_lift_cloth              | 0      | 28.544444    | 0.912509     | 0.057275       | 0.846705     | 26.188317    | 0.919085     | 0.091273       | 0.665054    
single_lift_cloth              | 1      | 24.956238    | 0.857232     | 0.130238       | 0.673630     | 21.310475    | 0.831812     | 0.198953       | 0.426664    
single_lift_cloth_1            | 0      | 30.114617    | 0.965638     | 0.027523       | 0.919693     | 25.336174    | 0.964267     | 0.053558       | 0.621892    
single_lift_cloth_1            | 1      | 27.216965    | 0.956084     | 0.045443       | 0.840100     | 20.181953    | 0.932204     | 0.106960       | 0.401311    
single_lift_cloth_3            | 0      | 27.876784    | 0.896731     | 0.053709       | 0.941580     | 24.392947    | 0.916493     | 0.089387       | 0.802153    
single_lift_cloth_3            | 1      | 24.357900    | 0.871340     | 0.101404       | 0.844847     | 17.238535    | 0.796185     | 0.263949       | 0.436289    
single_lift_rope               | 0      | 31.422693    | 0.985761     | 0.009882       | 0.782531     | 29.484292    | 0.982690     | 0.016228       | 0.680663    
single_lift_rope               | 1      | 30.358874    | 0.983952     | 0.010903       | 0.746477     | 28.266483    | 0.981030     | 0.017747       | 0.643589    
single_lift_sloth              | 0      | 29.566435    | 0.955643     | 0.017065       | 0.903937     | 24.708039    | 0.943454     | 0.053345       | 0.750464    
single_lift_sloth              | 1      | 27.813469    | 0.949232     | 0.023664       | 0.868019     | 23.373554    | 0.935170     | 0.067445       | 0.655801    
single_lift_zebra              | 0      | 28.805252    | 0.964180     | 0.012386       | 0.886710     | 24.431972    | 0.948212     | 0.049130       | 0.630281    
single_lift_zebra              | 1      | 26.590060    | 0.955929     | 0.021532       | 0.784851     | 21.712983    | 0.930345     | 0.083091       | 0.391236    
single_push_rope               | 0      | 31.677614    | 0.986768     | 0.008511       | 0.796994     | 27.308181    | 0.979788     | 0.017475       | 0.631919    
single_push_rope               | 1      | 28.178881    | 0.981479     | 0.020215       | 0.617211     | 23.933840    | 0.973166     | 0.042960       | 0.335029    
single_push_rope_1             | 0      | 32.601185    | 0.980278     | 0.008313       | 0.810026     | 30.253543    | 0.977881     | 0.014342       | 0.698575    
single_push_rope_1             | 1      | 32.201329    | 0.981481     | 0.009933       | 0.785296     | 30.670642    | 0.980276     | 0.014882       | 0.721867    
single_push_rope_4             | 0      | 29.652265    | 0.984843     | 0.009859       | 0.597310     | 28.697580    | 0.983142     | 0.015687       | 0.400991    
single_push_rope_4             | 1      | 29.766271    | 0.985945     | 0.010492       | 0.577737     | 28.190638    | 0.981741     | 0.020860       | 0.319337    
single_push_sloth              | 0      | 26.750244    | 0.941670     | 0.033489       | 0.836151     | 25.308306    | 0.936045     | 0.059261       | 0.771931    
single_push_sloth              | 1      | 23.751694    | 0.927116     | 0.075690       | 0.642720     | 21.066006    | 0.911838     | 0.125871       | 0.466479    
weird_package                  | 0      | 28.901800    | 0.961426     | 0.033083       | 0.764017     | 26.915299    | 0.969627     | 0.045755       | 0.358696    
weird_package                  | 1      | 25.469430    | 0.947563     | 0.060512       | 0.647783     | 20.580779    | 0.935259     | 0.090106       | 0.221990    
