
================================================================================
OVERALL RESULTS ACROSS ALL SCENES AND STAGES
================================================================================


Stage 0:
	 Overall PSNR (train): 28.907653
	 Overall SSIM (train): 0.949828
	 Overall LPIPS (train): 0.028530
	 Overall IoU (train): 0.855921
	 Overall PSNR (test): 26.281202
	 Overall SSIM (test): 0.944854
	 Overall LPIPS (test): 0.049661
	 Overall IoU (test): 0.719314

Stage 1:
	 Overall PSNR (train): 21.802524
	 Overall SSIM (train): 0.917491
	 Overall LPIPS (train): 0.110913
	 Overall IoU (train): 0.398758
	 Overall PSNR (test): 22.068277
	 Overall SSIM (test): 0.917182
	 Overall LPIPS (test): 0.113365
	 Overall IoU (test): 0.365987

================================================================================
COMPACT METRICS TABLE BY SCENE AND STAGE
================================================================================

Scene                          | Stage  | PSNR-train   | SSIM-train   | LPIPS-train    | IoU-train    | PSNR-test    | SSIM-test    | LPIPS-test     | IoU-test    
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
double_lift_cloth_1            | 0      | 29.745885    | 0.956998     | 0.034630       | 0.948700     | 26.084596    | 0.935258     | 0.065297       | 0.905692    
double_lift_cloth_1            | 1      | 20.752979    | 0.919605     | 0.116354       | 0.674142     | 23.116411    | 0.925999     | 0.103774       | 0.784620    
double_lift_cloth_3            | 0      | 29.000431    | 0.885305     | 0.037905       | 0.966657     | 22.982161    | 0.864026     | 0.106426       | 0.834781    
double_lift_cloth_3            | 1      | 23.750457    | 0.869732     | 0.116852       | 0.877154     | 22.737287    | 0.866619     | 0.123760       | 0.847899    
double_lift_sloth              | 0      | 28.640328    | 0.944693     | 0.022424       | 0.894754     | 24.484212    | 0.920236     | 0.069801       | 0.767006    
double_lift_sloth              | 1      | 17.874577    | 0.860234     | 0.188396       | 0.187135     | 18.268725    | 0.857650     | 0.197553       | 0.206957    
double_lift_zebra              | 0      | 27.458232    | 0.957634     | 0.016121       | 0.859753     | 24.239789    | 0.939422     | 0.047513       | 0.697463    
double_lift_zebra              | 1      | 20.865272    | 0.916720     | 0.126197       | 0.332503     | 19.862473    | 0.900913     | 0.149875       | 0.206783    
double_stretch_sloth           | 0      | 27.164230    | 0.938520     | 0.034720       | 0.854009     | 26.841037    | 0.936951     | 0.034683       | 0.842609    
double_stretch_sloth           | 1      | 24.074143    | 0.923518     | 0.054658       | 0.746665     | 24.907029    | 0.930039     | 0.044402       | 0.789059    
double_stretch_zebra           | 0      | 27.585152    | 0.958418     | 0.020845       | 0.828615     | 25.842496    | 0.952389     | 0.032711       | 0.731575    
double_stretch_zebra           | 1      | 24.712844    | 0.946636     | 0.044828       | 0.605657     | 24.284223    | 0.944166     | 0.053179       | 0.575766    
rope_double_hand               | 0      | 28.568927    | 0.976887     | 0.018901       | 0.741113     | 28.553649    | 0.976810     | 0.018194       | 0.727353    
rope_double_hand               | 1      | 26.440394    | 0.973579     | 0.031052       | 0.642254     | 26.218967    | 0.973991     | 0.031331       | 0.617811    
single_clift_cloth_1           | 0      | 30.323983    | 0.955588     | 0.031168       | 0.956774     | 29.666335    | 0.954608     | 0.036440       | 0.958028    
single_clift_cloth_1           | 1      | 23.733652    | 0.940442     | 0.066640       | 0.812883     | 24.393728    | 0.940384     | 0.068278       | 0.816231    
single_clift_cloth_3           | 0      | 29.488338    | 0.885243     | 0.035154       | 0.970233     | 28.853843    | 0.884787     | 0.045383       | 0.968271    
single_clift_cloth_3           | 1      | 26.698250    | 0.874079     | 0.055995       | 0.935324     | 28.200893    | 0.882189     | 0.050891       | 0.958891    
single_lift_cloth              | 0      | 27.998296    | 0.907690     | 0.063282       | 0.817831     | 25.950816    | 0.918245     | 0.095409       | 0.630590    
single_lift_cloth              | 1      | 22.946828    | 0.872168     | 0.155416       | 0.416820     | 24.034937    | 0.887389     | 0.147523       | 0.371955    
single_lift_cloth_1            | 0      | 30.166923    | 0.965073     | 0.026826       | 0.924781     | 24.237229    | 0.960349     | 0.059151       | 0.566246    
single_lift_cloth_1            | 1      | 19.310108    | 0.923968     | 0.115921       | 0.294163     | 19.256121    | 0.912614     | 0.136274       | 0.114173    
single_lift_cloth_3            | 0      | 27.761809    | 0.895783     | 0.054260       | 0.939831     | 24.246791    | 0.913902     | 0.094967       | 0.789137    
single_lift_cloth_3            | 1      | 18.748192    | 0.845855     | 0.190387       | 0.482006     | 20.369983    | 0.865327     | 0.163545       | 0.448081    
single_lift_cloth_4            | 0      | 23.852689    | 0.937067     | 0.072289       | 0.846910     | 22.495574    | 0.950233     | 0.072192       | 0.681126    
single_lift_cloth_4            | 1      | 16.356197    | 0.888083     | 0.161926       | 0.354789     | 16.519393    | 0.884033     | 0.147934       | 0.222870    
single_lift_dinosor            | 0      | 29.420067    | 0.973459     | 0.022676       | 0.908270     | 26.660804    | 0.959971     | 0.047896       | 0.857372    
single_lift_dinosor            | 1      | 19.365142    | 0.920470     | 0.115925       | 0.404609     | 20.093437    | 0.926708     | 0.110951       | 0.520047    
single_lift_rope               | 0      | 31.326232    | 0.985820     | 0.009628       | 0.785177     | 29.456298    | 0.983355     | 0.016185       | 0.685736    
single_lift_rope               | 1      | 23.230072    | 0.971127     | 0.070352       | 0.096632     | 22.806909    | 0.962919     | 0.084959       | 0.047259    
single_lift_sloth              | 0      | 29.165752    | 0.954286     | 0.018315       | 0.900013     | 24.831677    | 0.942994     | 0.052615       | 0.743039    
single_lift_sloth              | 1      | 20.644331    | 0.922626     | 0.110645       | 0.376659     | 21.049182    | 0.928844     | 0.107034       | 0.310506    
single_lift_zebra              | 0      | 28.659255    | 0.963615     | 0.012585       | 0.883396     | 24.476528    | 0.948049     | 0.048643       | 0.630469    
single_lift_zebra              | 1      | 21.247310    | 0.936952     | 0.097546       | 0.229239     | 20.577901    | 0.901062     | 0.150951       | 0.073069    
single_push_rope               | 0      | 31.899242    | 0.987117     | 0.008274       | 0.807190     | 25.753209    | 0.977548     | 0.023906       | 0.521272    
single_push_rope               | 1      | 20.335999    | 0.954722     | 0.117821       | 0.000000     | 19.619388    | 0.947537     | 0.136856       | 0.000000    
single_push_rope_1             | 0      | 32.595340    | 0.980029     | 0.008351       | 0.810424     | 31.430004    | 0.979935     | 0.011887       | 0.764377    
single_push_rope_1             | 1      | 23.000139    | 0.950535     | 0.119918       | 0.000000     | 22.225263    | 0.942086     | 0.133057       | 0.000000    
single_push_rope_4             | 0      | 29.830378    | 0.985364     | 0.009439       | 0.612455     | 29.039175    | 0.983887     | 0.012999       | 0.450649    
single_push_rope_4             | 1      | 25.815689    | 0.971346     | 0.103844       | 0.000000     | 25.592003    | 0.968958     | 0.113726       | 0.000000    
single_push_sloth              | 0      | 26.851587    | 0.941810     | 0.034747       | 0.833292     | 25.388783    | 0.937120     | 0.056658       | 0.783427    
single_push_sloth              | 1      | 17.779368    | 0.869316     | 0.191161       | 0.070813     | 18.586246    | 0.885509     | 0.161697       | 0.111894    
weird_package                  | 0      | 28.465288    | 0.959821     | 0.035125       | 0.740077     | 26.671443    | 0.966717     | 0.043593       | 0.288678    
weird_package                  | 1      | 21.973577    | 0.933085     | 0.088253       | 0.233234     | 22.781588    | 0.943071     | 0.076471       | 0.027845    
